Gene Set,ES,NES,P-value,FDR
chr10q24,0.17390344382109604,0.34417335385449616,1.0,1.0
chr18q12,0.1501041723523649,0.29707207224265286,1.0,1.0
chr18p11,-0.2835154468361032,-0.5888169405581033,0.9166666666666666,1.0
chr1q32,0.11057293457439911,0.3921795727725505,1.0,1.0
chr6q22,0.2122584426692304,0.32440608884766653,1.0,1.0
chr7p15,0.29938519320856816,0.7780136694596462,0.7169811320754716,1.0
chr12p13,0.1828734178337122,0.5927150365739468,0.8448275862068966,1.0
chr16p11,-0.169918132743377,-0.28853178670800805,1.0,1.0
chr3q21,0.13908450854385324,0.2752629891791443,1.0,1.0
chr7q11,0.2297606440357414,0.3511556523521065,1.0,1.0
chr16p13,0.10315484940674458,0.26206697201897383,1.0,1.0
chr3q12,0.39410156753533154,0.6023267980539309,0.9574468085106383,1.0
chr4q31,-0.15270368039952106,-0.2593005527497464,1.0,1.0
chr3q22,0.14760891688925798,0.2921336971156786,1.0,1.0
chr2q35,0.1959751190145333,0.2995194022507393,1.0,1.0
chr7p14,0.1600030537298332,0.24454134408714695,1.0,1.0
chr12p12,-0.2790178965680776,-0.697731345713656,0.8148148148148148,1.0
chr12q13,0.16769907345136256,0.42604287285123593,1.0,1.0
chr5q35,0.23180510503228585,0.588905536906144,0.8913043478260869,1.0
chr4q22,-0.1643321708442758,-0.3412920429966368,1.0,1.0
chr7q22,0.19531439243352858,0.2985095779853486,1.0,1.0
chr15q14,-0.3147005759801455,-0.534381575406818,0.9056603773584906,1.0
chr6p25,0.10517434814799997,0.16074365994932227,1.0,1.0
chr5q14,0.2431800927401313,0.37166532355263915,0.9787234042553191,1.0
chr6p22,0.17683602181350136,0.27026808207245295,1.0,1.0
chr5q31,0.2226526966653887,0.34029219091729107,1.0,1.0
chr11q14,-0.1561174784564678,-0.3242314203977869,1.0,1.0
chr6q23,-0.16164603999587207,-0.40422320719518706,1.0,1.0
chr17p13,0.14650612494449253,0.22391325587710106,1.0,1.0
chr1q23,0.21623459858515637,0.5493483517532535,0.8913043478260869,1.0
chr4q13,0.20175179460208628,0.30834820882414926,1.0,1.0
chr14q24,0.12228018945760788,0.3106552835214212,1.0,1.0
chrXq28,-0.2616872952748417,-0.444361656083342,0.9433962264150944,1.0
chrXq22,0.30524432247848826,0.9893340536039029,0.41379310344827586,1.0
chrXq24,0.20233263731000806,0.3092359422341518,1.0,1.0
chrXp22,-0.12625522431589686,-0.21438939367408957,1.0,1.0
chrX,0.11258496210478772,0.41268150096409506,1.0,1.0
chr22,-0.08330117640022376,-0.2735880218676408,1.0,1.0
chr21,0.23751371010356997,0.6034083630368346,0.8913043478260869,1.0
chr20,-0.08432334836203358,-0.37934974812712524,1.0,1.0
chr18,-0.11957690819565195,-0.36169316440113997,1.0,1.0
chr16,-0.06490101781517882,-0.34802657935031195,1.0,1.0
chr15,0.14714330279233157,0.6445849448819051,0.8873239436619719,1.0
chr14,-0.07904067035888587,-0.292359706949359,1.0,1.0
chr13,0.18596694365648717,0.3680482990904344,1.0,1.0
chr10,0.1952026193945557,0.8930094492787625,0.5333333333333333,1.0
chr9,0.1765535771075865,0.8798361405454046,0.5806451612903226,1.0
chr8,0.10033302448162489,0.44716009033310866,0.9846153846153847,1.0
chr7,0.19932334533076834,0.9910881956916845,0.4745762711864407,1.0
chr5,0.17698386756684367,0.9731019778973791,0.44,1.0
chr4,0.09722876998018418,0.39635543438811405,1.0,1.0
chr1q31,0.16375016165514866,0.41601058291862014,1.0,1.0
chr15q22,0.30075899764645464,0.5952339450412869,0.95,1.0
chr17p11,0.303790067583011,0.6012327538222411,0.95,1.0
chr17p12,-0.449335495922408,-0.7630002247354298,0.6226415094339622,1.0
chr10q22,0.34984215527886664,0.5346827380850615,0.9574468085106383,1.0
chr2p13,0.20165880503818467,0.30820608783075265,1.0,1.0
chr16q12,0.2529728250875052,0.6574016363688037,0.8113207547169812,1.0
chr15q21,0.20457183525537825,0.31265822988725245,1.0,1.0
chr14q32,-0.2068847925127929,-0.5173503436989088,0.9629629629629629,1.0
chrXq26,0.1487545816968749,0.22734969426706964,1.0,1.0
chr6p21,0.20249797151677082,0.40076495596808126,1.0,1.0
chr5p15,0.24691996827273477,0.37738117814505034,0.9787234042553191,1.0
chr19p13,0.10299079246698861,0.46978703028883484,0.9583333333333334,1.0
chr2q33,-0.1615739372765924,-0.33556362618974983,1.0,1.0
chr3p14,0.17396548124219857,0.2658808792460097,1.0,1.0
chr2q32,0.2842920262331345,0.5626440626639203,0.95,1.0
chr9q34,0.20473848411675283,0.6635823814027538,0.8275862068965517,1.0
chr11q23,-0.15079667551739867,-0.4561259157145785,1.0,1.0
chr12q24,-0.07214277019915806,-0.12250300805191522,1.0,1.0
chr9q22,0.09274410964596937,0.23561827802858243,1.0,1.0
chr2q36,0.2497131651541671,0.4942088302814021,0.95,1.0
chr21q22,0.2549162330559929,0.38960230325605233,0.9787234042553191,1.0
chr12q14,-0.19322828398019679,-0.40130471997980555,1.0,1.0
chr3q28,0.6563565110937589,1.003145250553997,0.46808510638297873,1.0
chr10q26,0.18348645632075458,0.28043230178736717,1.0,1.0
chr9p13,0.1650411389888756,0.2522413230072503,1.0,1.0
chr4p15,-0.1582831272380841,-0.2687748080230447,1.0,1.0
chr10q25,0.19911863247342326,0.39407688569871446,1.0,1.0
chr8q21,-0.23082181625181086,-0.5772089118812178,0.9444444444444444,1.0
chr4p16,0.11163394166461663,0.17061620702881297,1.0,1.0
chr8q22,-0.16069234953135134,-0.33373270725824467,1.0,1.0
chr3p25,-0.1110870733831131,-0.18863290954238987,1.0,1.0
chr8p11,-0.2390392133377458,-0.40590377380017906,0.9433962264150944,1.0
chr1p13,0.09615934551400405,0.1903095402990133,1.0,1.0
chr10q21,0.3246466553865378,0.4961750892309268,0.9574468085106383,1.0
chr1p34,0.2790834662842872,0.7090171656525195,0.8260869565217391,1.0
chr10q23,0.23111711267203694,0.4574052707278991,0.975,1.0
chr16q24,0.18899432703848226,0.2888502793007565,1.0,1.0
chr8q24,0.12168925870380633,0.3091540120425494,1.0,1.0
chr16q22,-0.12583293641491866,-0.21367232198428687,1.0,1.0
chr1q22,-0.2088822187065218,-0.3546952806146275,0.9433962264150944,1.0
chr22q12,-0.20042872467071468,-0.41625890150809375,1.0,1.0
chr6p12,0.23095957625309022,0.35298804547877094,1.0,1.0
chr20q11,0.09730208079306475,0.14871204683248906,1.0,1.0
chr5q32,-0.33655500625403234,-0.5714917867339014,0.8113207547169812,1.0
chr1q21,0.14902572949771373,0.3786028665350462,1.0,1.0
chr2q14,0.11285672438142265,0.17248505216722626,1.0,1.0
chr20q13,0.104019605614463,0.28667426156322384,1.0,1.0
chr5q33,-0.1572716315060751,-0.32662841454815655,1.0,1.0
chr6p24,0.18952245940845258,0.2896574526427513,1.0,1.0
chr5p13,0.27187507170787173,0.6907040940846434,0.8478260869565217,1.0
