Gene Set,ES,NES,P-value,FDR
citric acid,0.193310949601547,0.6007096893225589,0.8222222222222222,1.0
Fingolimod hydrochloride,0.2095282063136301,0.4049277361926936,0.96,1.0
Fulvestrant,0.32332888311523,0.7457456704395479,0.8297872340425532,1.0
Prochlorperazine edisylate,0.14178841612411344,0.6629446128547002,0.7555555555555555,1.0
flunisolide,0.3586098707243646,0.6930383535637861,0.76,1.0
Bexarotene,0.11401442286660207,0.26296989431077294,1.0,1.0
ATOVAQUONE,0.1732081902767979,0.39949804898054,0.9574468085106383,1.0
Maprotiline hydrochloride,0.1670663074654126,0.38533203179454883,0.9574468085106383,1.0
Loperamide hydrochloride,0.19956727559870913,0.6201510901009545,0.8222222222222222,1.0
Diflorasone diacetate,0.22121132878824748,0.5102154472145403,0.9361702127659575,1.0
Masoprocol,0.16146407088661013,0.9301664309599766,0.5476190476190477,1.0
Dofetilide,0.3112522177229678,0.7178913048077061,0.8723404255319149,1.0
Clofarabine,0.18878981510126572,0.7022650854458516,0.7954545454545454,1.0
Brinzolamide,0.43274095232741755,1.3447333612791428,0.13333333333333333,1.0
sertraline,0.15648897654904684,0.6436962122630355,0.8536585365853658,1.0
Prazosin hydrochloride,0.1292837782820928,0.47319151424700145,0.9545454545454546,1.0
Clomipramine hydrochloride,0.17787921342292431,0.3437638706230656,0.98,1.0
Dyclonine hydrochloride,0.1518078957957646,0.4717398269893728,0.8888888888888888,1.0
Telmisartan,-0.20335389360061495,-0.5476972228348391,0.7735849056603774,1.0
Repaglinide,-0.07447635650039226,-0.1761756157605827,1.0,1.0
Sufentanil citrate,0.15356135530203288,0.47718866533723264,0.8888888888888888,1.0
Epirubicin hydrochloride,-0.07175519167150812,-0.28129982088106803,0.9464285714285714,1.0
Dopamine hydrochloride,0.13090035603524752,0.40677008916579555,0.9555555555555556,1.0
Mefloquine hydrochloride,0.17090951612099228,0.7030131488674564,0.7560975609756098,1.0
Nelfinavir mesylate,0.37231459340753714,0.8587293328081057,0.6595744680851063,1.0
Zoledronic acid,0.2655505889273937,0.612482250478995,0.9148936170212766,1.0
efavirenz,0.19389353798479148,0.7096696744238032,0.7727272727272727,1.0
Valdecoxib,0.3572919528309907,1.329063560178722,0.1590909090909091,1.0
Gefitinib,0.09544995497788988,0.9086133368620891,0.5,1.0
difluprednate,0.10330487381838467,0.2382687301026196,1.0,1.0
Eplerenone,0.48977354633566,0.9465212195245379,0.44,1.0
hydrocortisone sodium phosphate,0.48977354633566,0.9465212195245379,0.44,1.0
terconazole,0.1589981758484189,0.591445399149479,0.8863636363636364,1.0
Nortriptyline hydrochloride,0.16059327939601992,0.31035760873289586,0.98,1.0
mometasone furoate,0.26382258472716913,0.6084966750537412,0.9148936170212766,1.0
Amiodarone hydrochloride,0.11291825314984338,0.42003614789354926,1.0,1.0
digitoxin,-0.14565605694634193,-0.5756375454765718,0.6206896551724138,1.0
griseofulvin,0.10248874156883381,0.23638635236468106,1.0,1.0
Sorafenib tosylate,0.15707145817760948,1.0270031726830378,0.4318181818181818,1.0
Bortezomib,-0.13431699663239455,-0.4681803391775441,0.6785714285714286,1.0
Imatinib mesylate,0.16844738262941783,0.32553620591595517,0.98,1.0
Vincristine sulfate,0.19651822128385663,0.9188387859123864,0.4888888888888889,1.0
Dexamethasone 21-acetate,0.6614796944068585,1.2783552148233128,0.26,1.0
Nandrolone phenpropionate,0.48977354633566,0.9465212195245379,0.44,1.0
Lacosamide,0.46881497375313624,1.4568326202602047,0.1111111111111111,1.0
Sorafenib,0.10215188951938987,1.1054658803967288,0.3333333333333333,1.0
Lapatinib,0.1441856651769908,0.4480539064743361,0.9111111111111111,1.0
ATROPINE,0.07189843840668855,0.13894870009163215,1.0,1.0
Proge,-0.05962900638054333,-0.16060002892870953,1.0,1.0
docetaxel,0.26109339101396384,0.504581018557026,0.92,1.0
methotrexate,0.12721651824314908,0.7328722364276634,0.6666666666666666,1.0
Rolazar,0.4887391722810348,0.9445222201932073,0.44,1.0
Desloratadine,0.18976449337139706,0.7058907181013466,0.7954545454545454,1.0
medrysone,0.448249326664102,1.0338698832484565,0.3617021276595745,1.0
