Gene Set,ES,NES,P-value,FDR
gabapentin,0.9086161879895562,2.093589300564164,0.0,0.35026713857390834
Pregabalin,0.9086161879895562,2.093589300564164,0.0,0.35026713857390834
Gabapentin enacarbil,0.9086161879895562,2.093589300564164,0.0,0.35026713857390834
chlorpromazine,0.25534874268245944,0.44923198791827407,1.0,1.0
caffeic acid_BOSS,-0.18040041256930828,-0.2857806903163993,1.0,1.0
maltotriose_BOSS,-0.1595330416380749,-0.4910578896364247,1.0,1.0
bilirubin_BOSS,0.09316128261341522,0.3171160525889765,1.0,1.0
Telmisartan_BOSS,0.3264521601291884,0.8729892896558189,0.5862068965517241,1.0
33258 Hoechst_BOSS,0.35511019302143204,0.8182276636254368,0.6065573770491803,1.0
chlorpromazine_BOSS,0.24104430326961232,0.42406635880264165,1.0,1.0
L-thyroxine_BOSS,0.24264680598509575,1.0094226814331226,0.4696969696969697,1.0
Nitro-L-arginine_BOSS,-0.48400880301345317,-0.7667408731188865,0.8235294117647058,1.0
staurosporine_BOSS,0.1781914893617022,0.4105801773185454,1.0,1.0
"1,10-phenanthroline_BOSS",0.18189822169639056,0.3200113651355826,1.0,1.0
keratan sulfate_BOSS,-0.36069643492254516,-0.571396011232661,0.9803921568627451,1.0
methanol_BOSS,0.16545286575585055,0.4424494532079684,0.9827586206896551,1.0
ryanodine_BOSS,0.3782957818100306,0.6655312428734018,0.7755102040816326,1.0
Coke_BOSS,0.22378458910524476,0.7617508425875004,0.7368421052631579,1.0
L-leucine_BOSS,0.22179285380170805,0.7329155309344766,0.746031746031746,1.0
L-glutamine_BOSS,0.18857257997229365,0.3317534837959879,1.0,1.0
myo-inositol_BOSS,0.24131989921238778,0.5560375939616042,0.9180327868852459,1.0
FLUOXETINE HYDROCHLORIDE_BOSS,0.27521393783178627,0.735969460260496,0.7586206896551724,1.0
retinol_BOSS,0.22452550838174087,0.6004198716106529,0.9137931034482759,1.0
OXYTOCIN_BOSS,0.1680092743576122,0.4492857300101766,0.9827586206896551,1.0
SELENIUM_BOSS,0.12168151849559551,0.3253973334214537,1.0,1.0
irbesartan_BOSS,0.35025819108677203,0.8070479163669193,0.6065573770491803,1.0
meprobamate_BOSS,0.2169263431016794,0.5800983951125567,0.9310344827586207,1.0
ethanol_BOSS,0.1636974197381861,0.5409388952057057,0.8888888888888888,1.0
valsartan_BOSS,0.248289951856755,0.572097650818949,0.9016393442622951,1.0
mycophenolic acid_BOSS,0.43811238848253004,0.7707658833252199,0.7755102040816326,1.0
CHROMIUM_BOSS,0.27874729114003205,0.490396774271144,0.9795918367346939,1.0
histamine_BOSS,0.16555587595307447,0.7160667423953784,0.8363636363636363,1.0
DESFLURANE_BOSS,0.3093590061532608,0.5442515982444952,0.9183673469387755,1.0
warfarin_BOSS,0.13613548315841356,0.31367676994421273,1.0,1.0
doxorubicin_BOSS,0.14778460421374973,0.5030509349700601,1.0,1.0
Nitrogen peroxide_BOSS,0.4477306108000299,0.7876871067725721,0.7755102040816326,1.0
"Inositol 1,4,5-triphosphate_BOSS",0.1506347832766085,0.3470853532320449,1.0,1.0
11-cis-Retinal_BOSS,0.18793648967556648,0.7142400260226573,0.78125,1.0
GEMCITABINE HYDROCHLORIDE_BOSS,0.19712896483683748,0.6710165148693135,0.8421052631578947,1.0
Indoxyl sulfate_BOSS,0.17532352221989522,0.30844457500862216,1.0,1.0
Eicosapentaenoic acid_BOSS,0.18654207869990336,0.6164291784359903,0.873015873015873,1.0
caffeine_BOSS,0.27360611060412443,0.4813519568652302,0.9795918367346939,1.0
citric acid_BOSS,-0.09265515330381865,-0.25537481458859956,1.0,1.0
Acid red 87_BOSS,0.1351157032301088,0.553488051418983,0.9384615384615385,1.0
Estrone sulfate_BOSS,0.20430933374211643,0.707642621299962,0.7704918032786885,1.0
SKF 38393_BOSS,-0.21469483379934168,-0.34010807922608366,1.0,1.0
trans-Lutein_BOSS,0.431735088146754,1.154533968381691,0.29310344827586204,1.0
GLYCOPROTEIN_BOSS,0.11324232420647848,0.33186788202214046,1.0,1.0
cytosine_BOSS,0.17725422490879209,0.3118412371495863,1.0,1.0
Thuringiensin_BOSS,0.2340147736883412,0.41169939151409796,1.0,1.0
"Salicylate, sodium_BOSS",-0.22381636283182857,-0.3545579179294386,1.0,1.0
genistein_BOSS,0.19404977492355427,0.6605351161264031,0.8596491228070176,1.0
2-Butanone_BOSS,0.17407467705774282,0.592540945076074,0.8771929824561403,1.0
Lenalidomide_BOSS,0.35380715461970413,0.6224486940480868,0.7755102040816326,1.0
6-MERCAPTOPURINE MONOHYDRATE_BOSS,0.21382292826743343,0.37617611944749935,1.0,1.0
DL-METHIONINE_BOSS,0.21211742956235288,0.7009430459249137,0.7936507936507936,1.0
succinic acid_BOSS,0.29001607041799515,0.6682409471068732,0.819672131147541,1.0
Sunitinib_BOSS,0.247654284347241,0.4356952194283544,1.0,1.0
Idocyklin_BOSS,0.22027756704627813,0.5075528739398752,0.9344262295081968,1.0
glutathione_BOSS,0.20658557456567375,0.7851146225430194,0.65625,1.0
haloperidol_BOSS,0.2004051470785352,0.5359178720772624,0.9482758620689655,1.0
indocyanine green_BOSS,0.19658335631632662,0.345846746774274,1.0,1.0
hydroquinone_BOSS,0.33744162234381875,0.5936570089181576,0.8979591836734694,1.0
methylprednisolone_BOSS,0.13512865215662861,0.36135728436191167,1.0,1.0
MAGNESIUM_BOSS,0.25149860205595276,0.5794908668050709,0.8852459016393442,1.0
calcitriol_BOSS,0.29872993206134674,0.5255519953646054,0.9183673469387755,1.0
tamoxifen_BOSS,0.19766497855347945,0.7512124956123406,0.78125,1.0
CHOLINE HYDROXIDE_BOSS,0.1918596846145162,0.6645222107853849,0.8032786885245902,1.0
DL-ISOLEUCINE_BOSS,0.1657862679364403,0.2916657976548348,1.0,1.0
folic acid_BOSS,0.1760925841569876,0.5160568131525664,0.967741935483871,1.0
ZINC_BOSS,0.25231615234567745,0.8337799148619474,0.6349206349206349,1.0
UNII-M201HC068W_BOSS,0.2218218364016412,0.3902485028262354,1.0,1.0
Ethene_BOSS,0.23821568109306318,0.5488850053030032,0.9344262295081968,1.0
alpha-GalNAc_BOSS,0.14148498367573437,0.32600282927979,1.0,1.0
Everolimus_BOSS,0.1496311211637983,0.34477276372666704,1.0,1.0
Levorphanol tartrate_BOSS,0.17523896148237228,0.46861915829865985,0.9827586206896551,1.0
ritonavir_BOSS,0.3098638274017705,0.7139731849986192,0.7868852459016393,1.0
water_BOSS,0.19179829853888597,0.6643095949314018,0.8032786885245902,1.0
xanthine_BOSS,0.1680144117666456,0.29558574443701147,1.0,1.0
"3,4-Dihydro-2-phenyl-2H-1-benzopyran-3,4-diol_BOSS",0.2829476619810217,0.651954263608081,0.8360655737704918,1.0
sucrose_BOSS,0.10291991523698096,0.3016170369774261,1.0,1.0
Isoflavone_BOSS,0.1329183449293716,0.35544654223209815,1.0,1.0
daunorubicin_BOSS,-0.138744251560243,-0.32671267711658175,1.0,1.0
Ezetimibe_BOSS,0.28688815380737875,0.6610337535353685,0.8360655737704918,1.0
metformin_BOSS,-0.13103405232227694,-0.403335287431323,1.0,1.0
lovastatin_BOSS,0.36409240617698074,0.8389240430278908,0.5901639344262295,1.0
diphenylpyraline_BOSS,0.2329548298214879,0.7929658543997892,0.7017543859649122,1.0
SODIUM BICARBONATE_BOSS,0.14136511060003035,0.32572662355944626,1.0,1.0
rapamycin_BOSS,0.22106304822192607,0.7305038849557335,0.746031746031746,1.0
GLYCOGEN_BOSS,0.18490502386715493,0.6294068697609261,0.8771929824561403,1.0
Sapropterin_BOSS,0.26883516027580023,0.47295848103395227,0.9795918367346939,1.0
hemin_BOSS,0.1727774896172343,0.5063415992400975,0.967741935483871,1.0
Oxotremorine_BOSS,0.20213759340595472,0.5923843003996648,0.9354838709677419,1.0
mycophenolate mofetil_BOSS,0.24168525642681146,0.4251939800235111,1.0,1.0
trimethoprim_BOSS,0.14501130547330188,0.38778520107541464,0.9827586206896551,1.0
Triton X-100_BOSS,0.29128974479084246,0.5124625629166482,0.9183673469387755,1.0
Antimycin A_BOSS,0.4226732111461181,0.7436039233570672,0.7755102040816326,1.0
hydrocortisone_BOSS,0.16742165108464074,0.5698943984080029,0.9122807017543859,1.0
nitroglycerin_BOSS,0.1568581939914107,0.5183386414849068,0.9206349206349206,1.0
CADMIUM_BOSS,0.272606481331139,0.7289966725864684,0.7758620689655172,1.0
Bisulfite_BOSS,0.23103536194981938,0.7634574426797281,0.7301587301587301,1.0
COPPER_BOSS,0.19513529909717522,0.5218253911329763,0.9655172413793104,1.0
rotenone_BOSS,0.29186463943957625,0.964468076898018,0.4603174603174603,1.0
Nilotinib_BOSS,0.28834857510915013,0.5072881982848447,0.9183673469387755,1.0
Naloxone hydrochloride_BOSS,0.31025371366553284,0.7148715419958194,0.7868852459016393,1.0
Alloxan_BOSS,0.21219677343005733,0.3733152446979971,1.0,1.0
(-)-Epicatechin_BOSS,0.22045282388319795,0.38784001548188984,1.0,1.0
Capsaicin_BOSS,0.15132929125841738,0.5151168611975123,0.9824561403508771,1.0
hydrogen sulfide_BOSS,0.14798146560340983,0.43367438731468827,0.9838709677419355,1.0
L-cysteine_BOSS,0.24483986348902265,0.8334218770715185,0.6491228070175439,1.0
methyprylon_BOSS,0.12656220937852783,0.4383588941422599,0.9836065573770492,1.0
okadaic acid_BOSS,-0.1973770725550184,-0.3126742075810513,1.0,1.0
cyclosporin A_BOSS,0.1512444955358996,0.44323702072281007,0.9838709677419355,1.0
Phetharbital_BOSS,0.1878964759746385,0.7816586080337852,0.6212121212121212,1.0
nitrate_BOSS,0.21435708880178675,0.6281947456974846,0.9032258064516129,1.0
