Gene Set,ES,NES,P-value,FDR
chr10q24,0.08001996867991469,0.22830310833320733,1.0,1.0
chr5q35,-0.18826478093925272,-0.4619459344655089,0.98,1.0
chr12q13,0.06302275047897261,0.2109044432859658,1.0,1.0
chr9q31,-0.27158373659958174,-0.8193966035580214,0.4423076923076923,1.0
chr12p12,0.12465810696754565,0.3006972655869313,1.0,1.0
chr7q34,0.09516552403205979,0.16939392921603336,1.0,1.0
chr7p14,0.12251917620643148,0.34955660717939263,0.9791666666666666,1.0
chr1q44,-0.5178959316617624,-1.1179866388888318,0.3829787234042553,1.0
chr6q21,-0.12281067133119009,-0.2651125086476046,1.0,1.0
chr6q15,-0.11819892684538791,-0.2900251095399053,1.0,1.0
chr3q22,-0.06554661644580809,-0.16083195611016177,1.0,1.0
chr6q14,-0.09968674667767019,-0.24460170998579767,1.0,1.0
chr4q31,-0.13820914677436666,-0.3391242543604922,1.0,1.0
chr18q11,-0.19335062072072784,-0.5833590917411495,0.7692307692307693,1.0
chr16p13,-0.0964508645095362,-0.29100236920987477,1.0,1.0
chr15q15,-0.07381234544730017,-0.22269958399365467,1.0,1.0
chr3q27,0.12583857485441666,0.22399173291321806,1.0,1.0
chr7q11,-0.18810808076912394,-0.40607061787897986,0.9361702127659575,1.0
chr1q24,0.12434379096457701,0.3547623730359323,0.9791666666666666,1.0
chr8q11,0.26516366040490624,0.6396213576188466,0.8,1.0
chr4q22,-0.2197529583321084,-0.47438270172017,0.8936170212765957,1.0
chr8q12,0.3376701010657397,0.8145196371974858,0.64,1.0
chr2p16,0.18155421968080593,0.607567764608653,0.723404255319149,1.0
chr5q33,-0.15486108581833855,-0.3343000287204266,1.0,1.0
chr4q25,0.21116519770408593,0.6024705058368747,0.7916666666666666,1.0
chr20q13,-0.10107395829735308,-0.4148962909064452,0.9433962264150944,1.0
chr17q24,-0.20515252154796215,-0.44286460658039756,0.8936170212765957,1.0
chr3q26,-0.11078446609907153,-0.35765409689250827,1.0,1.0
chr5p12,-0.2090746398579225,-0.4513313189034838,0.8936170212765957,1.0
chr5q13,0.15642873987373176,0.7024980075416158,0.8297872340425532,1.0
chr17q12,-0.16390705725131435,-0.3538276491931087,1.0,1.0
chr1q21,0.13181246613203665,0.4411079265257196,0.9787234042553191,1.0
chr6p21,0.06728928833461201,0.30218610098192145,1.0,1.0
chr6q23,0.20768968385064773,0.3696861017992704,1.0,1.0
chr11q14,-0.19493373973729994,-0.42080522972184004,0.9148936170212766,1.0
chr5q31,0.06868406217367395,0.2927147970955417,1.0,1.0
chr4q26,-0.22403509373208563,-0.48362658619658655,0.8936170212765957,1.0
chr6p22,-0.16073448470213303,-0.518911621726955,0.875,1.0
chr1q41,-0.28168761823467997,-0.6080816130690642,0.7021276595744681,1.0
chr1q42,-0.11721789954907272,-0.3784236498045615,1.0,1.0
chr7q31,-0.07239399393791891,-0.23371515370353088,1.0,1.0
chr3q21,0.15857047011454822,0.382499846389394,0.98,1.0
chr12p13,-0.08235071409336808,-0.24846073727961002,1.0,1.0
chr7p15,0.11641764082335651,0.38958943460754825,0.9787234042553191,1.0
chr5,0.05842988715772553,0.5229127618936307,1.0,1.0
chr7,-0.04603588233527467,-0.29809777214406613,1.0,1.0
chr8,0.1061491840965414,0.8816844358061751,0.6410256410256411,1.0
chr9,-0.07674251588498429,-0.42217907610300126,1.0,1.0
chr10,-0.0718657497379715,-0.48542491214422084,1.0,1.0
chr13,0.09824709086358556,0.4611109466216039,0.9591836734693877,1.0
chr14,-0.06412538781826188,-0.4249033376215953,1.0,1.0
chr15,0.10382754421279518,0.7466796411334798,0.7142857142857143,1.0
chr4,-0.052063686529530494,-0.40786068188383384,1.0,1.0
chr16,-0.04692712227625023,-0.21080183121020707,1.0,1.0
chr20,-0.061788743001071435,-0.2764361804096969,1.0,1.0
chr21,0.11120389355525188,0.396328392389752,0.9772727272727273,1.0
chr22,0.11296919548378176,0.37804927745766703,0.9787234042553191,1.0
chrX,0.06749477823933338,0.53895807902226,1.0,1.0
